user_id,username,password,credit,is_supplier
1,gdorwood0,ZUk3RLU8Yhh,473.45,true
2,dclover2,yWkzJIo,463.15,true
3,bcasado7,XHll2BL,521.63,true
4,dailsburya,hLlbTGW,278.25,true
5,kkalahere,zlbO8GS1N7,572.85,true
6,ppyson5,rM8rFKi2ET,809.48,false
7,cosmant6,sKmgHRb0m,233.76,false
8,gmapson7,KEydhg,733.92,false
9,ddenisard8,Ir9i7f6Q,836.61,false
10,sstiffkins9,Z5OUvyRNlGN8,577.49,false
11,jnorvillea,22GjP8l1,648.35,false
12,dacklandb,CDMOJQ,638.95,false
13,ddiboldic,lGir9EegzUq,645.4,false
14,clambald,IyODOra4F,573.11,false
15,gpielee,EP5OOU,710.01,false
16,kchownef,R7KoHRXnt7M,88.12,false
17,rellingfordg,2KDdqUmV,694.27,false
18,jquinaneh,WSk1V6PBe9A,512.87,false
19,cripperi,kePRQlvE,145.98,false
20,mskoughj,MhHlh3,509.79,false
